,ESA_cell_season,Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil.moisture,Additional.information,latlon,Loss_Day,Plot_unique,TBI_S,TBI_k,soiltemp_mean,soiltemp_GDD5,soiltemp_source,airtemp_mean,airtemp_GDD5,airtemp_source,moisture_mean,moisture_mean_source,CHELSA_year_temp,CHELSA_summer_temp,CHELSA_winter_temp,CHELSA_year_precip,CHELSA_summer_precip,CHELSA_winter_precip,ESA_moisture,ESA_moisture_winter,ESA_moisture_year,ESA_cell,is.region,is.site,is.plot,is.site.plot,airtemp_mean_var_level,soiltemp_mean_var_level,moisture_mean_var_level,CHELSA_summer_temp_var_level,CHELSA_summer_precip_var_level,ESA_moisture_var_level
709,120324_Year,Fin_G989,Green,Finland,FIN_511,FIN_511_Year,69.06588757,20.81287876,643,2.147,8,12-08-16,28-06-17,320,Year,0.802,No,1.826,0.802,0.560788609,None,Anna-Maria Virkkala,NA,,69.06588757_20.81287876,0.001752464,FIN_511_Year_Year,0.332662891,0.002280492,NA,0,Temp_logger,2.027864835,1100.5635,Temp_logger,15.46,Moisture Probe,-1.7,10.5,-12.8,48.5,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
710,120324_Year,Fin_R974,Rooibos,Finland,FIN_517,FIN_517_Year,69.06854099,20.81215131,661,2.258,8,12-08-16,28-06-17,320,Year,1.43,No,1.896,1.43,0.245780591,None,Anna-Maria Virkkala,NA,,69.06854099_20.81215131,0.000768064,FIN_517_Year_Year,0.30103907,0.003166931,NA,0,Temp_logger,1.77380848,1141.863083,Temp_logger,15.82,Moisture Probe,-2.4,9.8,-13.4,50.1,17.8,11.9,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
711,120324_Year,Fin_G704,Green,Finland,FIN_349,FIN_349_Year,69.06484872,20.80817517,618,2.08,8,12-08-16,24-08-17,377,Year,0.72429,No,1.762,0.72429,0.588938706,None,Anna-Maria Virkkala,NA,,69.06484872_20.80817517,0.001562172,FIN_349_Year_Year,0.247589409,0.004134966,NA,0,Temp_logger,1.476694959,1072.064333,Temp_logger,32.8,Moisture Probe,-1.6,10.7,-12.7,46.4,16.3,11,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
712,120324_Year,Fin_G166,Green,Finland,FIN_889,FIN_889_Year,69.05651775,20.82814385,715,2.04,8,09-08-16,19-08-17,375,Year,0.67296,No,1.723,0.67296,0.609425421,None,Anna-Maria Virkkala,NA,,69.05651775_20.82814385,0.001625134,FIN_889_Year_Year,0.287413455,0.002436028,NA,0,Temp_logger,-0.828727837,1043.845917,Temp_logger,18.78,Moisture Probe,-2.7,9.6,-13.7,50.3,18.4,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
713,120324_Year,Fin_R493,Rooibos,Finland,FIN_727,FIN_727_Year,69.0555033,20.82339422,721,2.237,8,09-08-16,21-08-17,377,Year,1.49575,No,1.877,1.49575,0.203116676,None,Anna-Maria Virkkala,NA,,69.0555033_20.82339422,0.000538771,FIN_727_Year_Year,0.330568172,0.002241648,NA,0,Temp_logger,0.332815256,1081.1895,Temp_logger,15.16,Moisture Probe,-2.4,9.9,-13.4,49.5,17.8,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
714,120324_Year,Fin_R620,Rooibos,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.202,8,12-08-16,28-06-17,320,Year,1.7,No,1.843,1.7,0.077590884,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.000242472,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
715,120324_Year,Fin_R629,Rooibos,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.234,8,12-08-16,28-06-17,320,Year,1.54,No,1.874,1.54,0.178228388,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.000556964,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
716,120324_Year,Fin_R632,Rooibos,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.221,8,12-08-16,26-08-17,379,Year,1.45221,No,1.861,1.45221,0.219661472,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.000579582,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
717,120324_Year,Fin_R634,Rooibos,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.21,8,12-08-16,26-08-17,379,Year,1.25754,No,1.851,1.25754,0.320615883,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.000845952,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
718,120324_Year,Fin_R967,Rooibos,Finland,FIN_355,FIN_355_Year,69.06748363,20.807332,625,2.248,8,12-08-16,28-06-17,320,Year,1.72,No,1.887,1.72,0.088500265,None,Anna-Maria Virkkala,NA,,69.06748363_20.807332,0.000276563,FIN_355_Year_Year,0.483923341,0.001611422,NA,0,Temp_logger,6.797169811,305.5,Temp_logger,50.24,Moisture Probe,-1.9,10.3,-13,48.6,17.1,11.6,28.11916471,28.11916471,27.70680785,120324,0,0,0,1,Site,Region,Site,Site,Site,Region
