Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
Hkg5,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.08,8,24/07/2015,23/07/2016,365,Year,1.175,No,1.762,1.05184,0.40,None,Haydn Thomas,,
Hkg6,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.18,8,24/07/2015,23/07/2016,365,Year,1.120,No,1.858,0.99684,0.46,None,Haydn Thomas,,
Hkg7,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,1.99,8,24/07/2015,23/07/2016,365,Year,1.031,No,1.675,0.90784,0.46,None,Haydn Thomas,,
Hkg8,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.12,8,24/07/2015,23/07/2016,365,Year,1.168,No,1.800,1.04484,0.42,None,Haydn Thomas,,
Hkg9,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.04,8,24/07/2015,23/07/2016,365,Year,1.099,No,1.723,0.97584,0.43,None,Haydn Thomas,,
Hkg10,Green,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,1.97,8,24/07/2015,23/07/2016,365,Year,1.045,No,1.656,0.92184,0.44,None,Haydn Thomas,,
Hkr1,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.22,8,24/07/2015,23/07/2016,365,Year,1.723,No,1.860,1.59946,0.14,None,Haydn Thomas,,
Hkr2,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.22,8,24/07/2015,23/07/2016,365,Year,1.686,No,1.860,1.56246,0.16,None,Haydn Thomas,,
Hkr3,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.26,8,24/07/2015,23/07/2016,365,Year,1.721,No,1.898,1.59746,0.16,None,Haydn Thomas,,
Hkr4,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.23,8,24/07/2015,23/07/2016,365,Year,1.662,No,1.870,1.53846,0.18,None,Haydn Thomas,,
Hkr5,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.17,8,24/07/2015,23/07/2016,365,Year,1.662,No,1.813,1.53846,0.15,None,Haydn Thomas,,
Hkr6,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.21,8,24/07/2015,23/07/2016,365,Year,1.695,No,1.851,1.57146,0.15,None,Haydn Thomas,,
Hkr7,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.15,8,24/07/2015,23/07/2016,365,Year,1.700,No,1.794,1.57646,0.12,None,Haydn Thomas,,
Hkr8,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.23,8,24/07/2015,23/07/2016,365,Year,1.763,No,1.870,1.63946,0.12,None,Haydn Thomas,,
Hkr9,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.25,8,24/07/2015,23/07/2016,365,Year,1.684,No,1.889,1.56046,0.17,None,Haydn Thomas,,
Hkr10,Rooibos,QHI,Herschel komakuk plots,HK_HT_1yr,69.57662,-138.86856,69,2.17,8,24/07/2015,23/07/2016,365,Year,1.803,No,1.813,1.67946,0.07,None,Haydn Thomas,,
Hhg1,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,1.89,8,24/07/2015,23/07/2016,365,Year,NA,No,1.579,#VALUE!,NA,None,Haydn Thomas,,
Hhg2,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.03,8,24/07/2015,23/07/2016,365,Year,0.978,No,1.714,0.85484,0.50,None,Haydn Thomas,,
Hhg3,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,1.96,8,24/07/2015,23/07/2016,365,Year,0.881,No,1.646,0.75784,0.54,None,Haydn Thomas,,
Hhg4,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.01,8,24/07/2015,23/07/2016,365,Year,0.969,No,1.694,0.84584,0.50,None,Haydn Thomas,,
Hhg5,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.11,8,24/07/2015,23/07/2016,365,Year,0.952,No,1.791,0.82884,0.54,None,Haydn Thomas,,
Hhg6,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.13,8,24/07/2015,23/07/2016,365,Year,1.078,No,1.810,0.95484,0.47,None,Haydn Thomas,,
Hhg7,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.08,8,24/07/2015,23/07/2016,365,Year,1.032,No,1.762,0.90884,0.48,None,Haydn Thomas,,
Hhg8,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.13,8,24/07/2015,23/07/2016,365,Year,NA,No,1.810,#VALUE!,NA,None,Haydn Thomas,,
Hhg9,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.03,8,24/07/2015,23/07/2016,365,Year,NA,No,1.714,#VALUE!,NA,None,Haydn Thomas,,
Hhg10,Green,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.02,8,24/07/2015,23/07/2016,365,Year,0.954,No,1.704,0.83084,0.51,None,Haydn Thomas,,
Hhr1,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.21,8,24/07/2015,23/07/2016,365,Year,1.638,No,1.851,1.51446,0.18,None,Haydn Thomas,,
Hhr2,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.16,8,24/07/2015,23/07/2016,365,Year,1.665,No,1.804,1.54146,0.15,None,Haydn Thomas,,
Hhr3,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.20,8,24/07/2015,23/07/2016,365,Year,1.699,No,1.842,1.57546,0.14,None,Haydn Thomas,,
Hhr4,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.25,8,24/07/2015,23/07/2016,365,Year,NA,No,1.889,#VALUE!,NA,None,Haydn Thomas,,
Hhr5,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.19,8,24/07/2015,23/07/2016,365,Year,1.625,No,1.832,1.50146,0.18,None,Haydn Thomas,,
Hhr6,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.28,8,24/07/2015,23/07/2016,365,Year,1.702,No,1.917,1.57846,0.18,None,Haydn Thomas,,
Hhr7,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.15,8,24/07/2015,23/07/2016,365,Year,1.701,No,1.794,1.57746,0.12,None,Haydn Thomas,,
Hhr8,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.23,8,24/07/2015,23/07/2016,365,Year,NA,No,1.870,#VALUE!,NA,None,Haydn Thomas,,
Hhr9,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.23,8,24/07/2015,23/07/2016,365,Year,1.630,No,1.870,1.50646,0.19,None,Haydn Thomas,,
Hhr10,Rooibos,QHI,Herschel Herschel plots,HH_HT_1yr,69.57528,-138.86233,72,2.25,8,24/07/2015,23/07/2016,365,Year,1.703,No,1.889,1.57946,0.16,None,Haydn Thomas,,
S46,Rooibos,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.2185,8,20/05/2016,24/09/2016,127,Summer,1.3651,No,1.859,1.24156,0.33,None,Haydn Thomas,,
S47,Rooibos,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.1742,8,20/05/2016,24/09/2016,127,Summer,1.3715,No,1.817,1.24796,0.31,None,Haydn Thomas,,
S48,Rooibos,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.1823,8,20/05/2016,24/09/2016,127,Summer,1.4164,No,1.825,1.29286,0.29,None,Haydn Thomas,,
S49,Rooibos,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.2575,8,20/05/2016,24/09/2016,127,Summer,1.4385,No,1.896,1.31496,0.31,None,Haydn Thomas,,
S50,Rooibos,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.2595,8,20/05/2016,24/09/2016,127,Summer,1.3747,No,1.898,1.25116,0.34,None,Haydn Thomas,,
S46,Green,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.0156,8,20/05/2016,24/09/2016,127,Summer,NA,No,1.700,#VALUE!,NA,None,Haydn Thomas,,
S47,Green,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.0957,8,20/05/2016,24/09/2016,127,Summer,NA,No,1.777,#VALUE!,NA,None,Haydn Thomas,,
S48,Green,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.0963,8,20/05/2016,24/09/2016,127,Summer,0.7448,No,1.777,0.62164,0.65,None,Haydn Thomas,,
S49,Green,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,1.9049,8,20/05/2016,24/09/2016,127,Summer,0.7989,No,1.593,0.67574,0.58,None,Haydn Thomas,,
S50,Green,Pentlands,Pentlands,PL_HT,55.835831,-3.291287,571,2.0112,8,20/05/2016,24/09/2016,127,Summer,0.7575,No,1.696,0.63434,0.63,None,Haydn Thomas,,
K21,Rooibos,Kluane,Common Garden,CG_DT_HT_1,61.03248,-138.40834,792,2.224,8,23/06/2016,24/06/2016,1,Summer,2.012,Yes,1.864,1.762943356,0.05,None,Haydn Thomas,,
K22,Rooibos,Kluane,Common Garden,CG_DT_HT_2,61.03248,-138.40834,792,2.229,8,23/06/2016,25/06/2016,2,Summer,2.114,Yes,1.869,1.864943356,0.00,None,Haydn Thomas,,
K23,Rooibos,Kluane,Common Garden,CG_DT_HT_3,61.03248,-138.40834,792,2.28,8,23/06/2016,26/06/2016,3,Summer,2.12,Yes,1.917,1.870943356,0.02,None,Haydn Thomas,,
K24,Rooibos,Kluane,Common Garden,CG_DT_HT_9,61.03248,-138.40834,792,2.305,8,23/06/2016,02/07/2016,9,Summer,2.1,Yes,1.941,1.850943356,0.05,None,Haydn Thomas,,
K25,Rooibos,Kluane,Common Garden,CG_DT_HT_11,61.03248,-138.40834,792,2.282,8,23/06/2016,04/07/2016,11,Summer,2.032,Yes,1.919,1.782943356,0.07,None,Haydn Thomas,,
K26,Rooibos,Kluane,Common Garden,CG_DT_HT_13,61.03248,-138.40834,792,2.283,8,23/06/2016,06/07/2016,13,Summer,2.072,Yes,1.920,1.822943356,0.05,None,Haydn Thomas,,
K27,Rooibos,Kluane,Common Garden,CG_DT_HT_14,61.03248,-138.40834,792,2.236,8,23/06/2016,07/07/2016,14,Summer,2.088,Yes,1.876,1.838943356,0.02,None,Haydn Thomas,,
K28,Rooibos,Kluane,Common Garden,CG_DT_HT_16,61.03248,-138.40834,792,2.252,8,23/06/2016,09/07/2016,16,Summer,1.996,Yes,1.891,1.746943356,0.08,None,Haydn Thomas,,
K29,Rooibos,Kluane,Common Garden,CG_DT_HT_18,61.03248,-138.40834,792,2.222,8,23/06/2016,11/07/2016,18,Summer,1.841,Yes,1.862,1.591943356,0.15,None,Haydn Thomas,,
K30,Rooibos,Kluane,Common Garden,CG_DT_HT_20,61.03248,-138.40834,792,2.25,8,23/06/2016,13/07/2016,20,Summer,1.854,Yes,1.889,1.604943356,0.15,None,Haydn Thomas,,
K31,Rooibos,Kluane,Common Garden,CG_DT_HT_23,61.03248,-138.40834,792,2.249,8,23/06/2016,16/07/2016,23,Summer,1.864,Yes,1.888,1.614943356,0.14,None,Haydn Thomas,,
K32,Rooibos,Kluane,Common Garden,CG_DT_HT_27,61.03248,-138.40834,792,2.339,8,23/06/2016,20/07/2016,27,Summer,1.88,Yes,1.973,1.630943356,0.17,None,Haydn Thomas,,
K33,Rooibos,Kluane,Common Garden,CG_DT_HT_30,61.03248,-138.40834,792,2.281,8,23/06/2016,23/07/2016,30,Summer,1.846,Yes,1.918,1.596943356,0.17,None,Haydn Thomas,,
K34,Rooibos,Kluane,Common Garden,CG_DT_HT_34,61.03248,-138.40834,792,2.256,8,23/06/2016,27/07/2016,34,Summer,1.771,Yes,1.894,1.521943356,0.20,None,Haydn Thomas,,
K35,Rooibos,Kluane,Common Garden,CG_DT_HT_37,61.03248,-138.40834,792,2.196,8,23/06/2016,30/07/2016,37,Summer,1.765,Yes,1.838,1.515943356,0.18,None,Haydn Thomas,,
K36,Rooibos,Kluane,Common Garden,CG_DT_HT_42,61.03248,-138.40834,792,2.268,8,23/06/2016,04/08/2016,42,Summer,1.748,Yes,1.906,1.498943356,0.21,None,Haydn Thomas,,
K37,Rooibos,Kluane,Common Garden,CG_DT_HT_45,61.03248,-138.40834,792,2.25,8,23/06/2016,07/08/2016,45,Summer,1.848,Yes,1.889,1.598943356,0.15,None,Haydn Thomas,,
K38,Rooibos,Kluane,Common Garden,CG_DT_HT_46,61.03248,-138.40834,792,2.205,8,23/06/2016,08/08/2016,46,Summer,1.775,Yes,1.846,1.525943356,0.17,None,Haydn Thomas,,
K39,Rooibos,Kluane,Common Garden,CG_DT_HT_47,61.03248,-138.40834,792,2.261,8,23/06/2016,09/08/2016,47,Summer,1.83,Yes,1.899,1.580943356,0.17,None,Haydn Thomas,,
K40,Rooibos,Kluane,Common Garden,CG_DT_HT_48,61.03248,-138.40834,792,2.27,8,23/06/2016,10/08/2016,48,Summer,1.754,Yes,1.908,1.504943356,0.21,None,Haydn Thomas,,
K41,Rooibos,Kluane,Common Garden,CG_DT_HT_50,61.03248,-138.40834,792,2.233,8,23/06/2016,12/08/2016,50,Summer,1.769,Yes,1.873,1.519943356,0.19,None,Haydn Thomas,,
K42,Rooibos,Kluane,Common Garden,CG_DT_HT_52,61.03248,-138.40834,792,2.283,8,23/06/2016,14/08/2016,52,Summer,1.837,Yes,1.920,1.587943356,0.17,None,Haydn Thomas,,
