Litter ID,Species,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
H15SA(f)16,Salix arctica,Flower,Herschel island,H,0.515,21/07/16,12/07/16,2.574,0.397,2.176,0.398,0.23,0.23,0.23
H15SA(f)17,Salix arctica,Flower,Herschel island,H,0.533,21/07/16,12/07/16,2.743,0.358,2.366,0.377,0.33,0.29,0.31
H15SA(f)18,Salix arctica,Flower,Herschel island,H,0.534,21/07/16,12/07/16,2.505,0.346,2.153,0.352,0.35,0.34,0.35
H15SA(f)19,Salix arctica,Flower,Herschel island,H,0.482,21/07/16,12/07/16,2.738,0.341,2.387,0.351,0.29,0.27,0.28
H15SA(f)20,Salix arctica,Flower,Herschel island,H,0.525,21/07/16,12/07/16,2.604,0.38,2.218,0.386,0.28,0.26,0.27
H15BN(s)1,Betula nana,Stem,Herschel island,H,0.498,21/07/16,,,,,0,1,1,1
H15BN(s)2,Betula nana,Stem,Herschel island,H,0.492,21/07/16,,,,,0,1,1,1
H15BN(s)3,Betula nana,Stem,Herschel island,H,0.543,21/07/16,,,,,0,1,1,1
H15BN(s)4,Betula nana,Stem,Herschel island,H,0.528,21/07/16,,,,,0,1,1,1
H15BN(s)5,Betula nana,Stem,Herschel island,H,0.469,21/07/16,,,,,0,1,1,1
H15BN(s)6,Betula nana,Stem,Herschel island,H,0.541,21/07/16,,,,,0,1,1,1
H15BN(s)7,Betula nana,Stem,Herschel island,H,0.502,21/07/16,,,,,0,1,1,1
H15BN(s)8,Betula nana,Stem,Herschel island,H,0.503,21/07/16,,,,,0,1,1,1
H15BN(s)9,Betula nana,Stem,Herschel island,H,0.468,21/07/16,,,,,0,1,1,1
H15BN(s)10,Betula nana,Stem,Herschel island,H,0.489,21/07/16,,,,,0,1,1,1
H15BN(s)11,Betula nana,Stem,Herschel island,H,0.545,21/07/16,12/07/16,2.915,0.508,2.404,0.511,0.07,0.06,0.07
H15BN(s)12,Betula nana,Stem,Herschel island,H,0.542,21/07/16,12/07/16,2.858,0.461,2.352,0.506,0.15,0.07,0.11
H15BN(s)13,Betula nana,Stem,Herschel island,H,0.531,21/07/16,12/07/16,2.722,0.432,2.276,0.446,0.19,0.16,0.17
H15BN(s)14,Betula nana,Stem,Herschel island,H,0.496,21/07/16,12/07/16,2.819,0.468,2.374,0.445,0.06,0.1,0.08
H15BN(s)15,Betula nana,Stem,Herschel island,H,0.529,21/07/16,12/07/16,2.986,0.465,2.501,0.485,0.12,0.08,0.1
H15BN(s)16,Betula nana,Stem,Herschel island,H,0.486,21/07/16,12/07/16,2.767,0.423,2.347,0.42,0.13,0.14,0.13
H15BN(s)17,Betula nana,Stem,Herschel island,H,0.491,21/07/16,12/07/16,2.652,0.407,2.246,0.406,0.17,0.17,0.17
H15BN(s)18,Betula nana,Stem,Herschel island,H,0.526,21/07/16,12/07/16,2.904,0.46,2.451,0.453,0.13,0.14,0.13
H15BN(s)19,Betula nana,Stem,Herschel island,H,0.47,21/07/16,12/07/16,2.767,0.416,2.349,0.418,0.11,0.11,0.11
H15BN(s)20,Betula nana,Stem,Herschel island,H,0.548,21/07/16,12/07/16,3.009,0.47,2.538,0.471,0.14,0.14,0.14
H15LA(f)1,Lupinus arcticus,Flower,Herschel island,H,0.479,21/07/16,,,,,0,1,1,1
H15LA(f)2,Lupinus arcticus,Flower,Herschel island,H,0.485,21/07/16,,,,,0,1,1,1
H15LA(f)3,Lupinus arcticus,Flower,Herschel island,H,0.512,21/07/16,,,,,0,1,1,1
H15LA(f)4,Lupinus arcticus,Flower,Herschel island,H,0.482,21/07/16,,,,,0,1,1,1
H15LA(f)5,Lupinus arcticus,Flower,Herschel island,H,0.488,21/07/16,,,,,0,1,1,1
H15LA(f)6,Lupinus arcticus,Flower,Herschel island,H,0.507,21/07/16,,,,,0,1,1,1
H15LA(f)7,Lupinus arcticus,Flower,Herschel island,H,0.483,21/07/16,,,,,0,1,1,1
H15LA(f)8,Lupinus arcticus,Flower,Herschel island,H,0.499,21/07/16,,,,,0,1,1,1
H15LA(f)9,Lupinus arcticus,Flower,Herschel island,H,0.496,21/07/16,,,,,0,1,1,1
