Litter ID,Species,Replicate,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
K15SA(l)5,Salix arctica,1,Leaf,Pika camp,Pika camp,0.502,21/08/15,08/08/17,4.574,0.257,4.307,0.267,49%,47%,0.48
K15SA(l)6,Salix arctica,2,Leaf,Pika camp,Pika camp,0.497,21/08/15,08/08/17,4.706,0.345,4.345,0.361,31%,27%,0.29
K15SA(l)7,Salix arctica,2,Leaf,Pika camp,Pika camp,0.537,21/08/15,08/08/17,4.665,0.359,4.298,0.367,33%,32%,0.32
K15SA(l)8,Salix arctica,2,Leaf,Pika camp,Pika camp,0.535,21/08/15,08/08/17,4.614,0.341,4.265,0.349,36%,35%,0.36
K15SA(l)9,Salix arctica,2,Leaf,Pika camp,Pika camp,0.503,21/08/15,08/08/17,4.551,0.321,4.228,0.323,36%,36%,0.36
K15SA(l)10,Salix arctica,2,Leaf,Pika camp,Pika camp,0.515,21/08/15,08/08/17,4.52,0.327,4.187,0.333,37%,35%,0.36
K15SA(l)11,Salix arctica,1,Leaf,Pika camp,Pika camp,0.526,21/08/15,12/08/16,4.599,0.348,4.342,0.257,0.34,0.51,0.42
K15SA(l)12,Salix arctica,1,Leaf,Pika camp,Pika camp,0.498,21/08/15,12/08/16,4.592,0.338,4.219,0.373,0.32,0.25,0.29
K15SA(l)13,Salix arctica,1,Leaf,Pika camp,Pika camp,0.498,21/08/15,12/08/16,4.591,0.346,4.212,0.379,0.31,0.24,0.27
K15SA(l)14,Salix arctica,1,Leaf,Pika camp,Pika camp,0.527,21/08/15,12/08/16,4.428,0.342,4.081,0.347,0.35,0.34,0.35
K15SA(l)15,Salix arctica,1,Leaf,Pika camp,Pika camp,0.544,21/08/15,12/08/16,4.588,0.339,4.236,0.352,0.38,0.35,0.36
K15SA(l)16,Salix arctica,2,Leaf,Pika camp,Pika camp,0.532,21/08/15,12/08/16,4.656,0.38,4.257,0.399,0.29,0.25,0.27
K15SA(l)17,Salix arctica,2,Leaf,Pika camp,Pika camp,0.498,21/08/15,12/08/16,4.485,0.333,4.125,0.36,0.33,0.28,0.3
K15SA(l)18,Salix arctica,2,Leaf,Pika camp,Pika camp,0.489,21/08/15,12/08/16,4.665,0.328,4.3,0.365,0.33,0.25,0.29
K15SA(l)19,Salix arctica,2,Leaf,Pika camp,Pika camp,0.492,21/08/15,12/08/16,5,0.313,4.663,0.337,0.36,0.32,0.34
K15SA(l)20,Salix arctica,2,Leaf,Pika camp,Pika camp,0.538,21/08/15,12/08/16,4.564,0.335,4.205,0.359,0.38,0.33,0.36
K15EQ1,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.526,21/08/15,08/08/17,4.484,0.154,4.297,0.187,71%,64%,0.68
K15EQ2,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.489,21/08/15,08/08/17,3.949,0.131,3.799,0.15,73%,69%,0.71
K15EQ3,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.503,21/08/15,08/08/17,4.142,0.097,4.026,0.116,81%,77%,0.79
K15EQ4,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.529,21/08/15,08/08/17,4.321,0.104,4.203,0.118,80%,78%,0.79
K15EQ5,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.509,21/08/15,08/08/17,4.313,0.104,4.195,0.118,80%,77%,0.78
K15EQ6,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.522,21/08/15,08/08/17,4.756,0.211,4.5,0.256,60%,51%,0.55
K15EQ7,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.528,21/08/15,08/08/17,4.379,0.162,4.17,0.209,69%,60%,0.65
K15EQ8,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.503,21/08/15,08/08/17,4.414,0.084,4.294,0.12,83%,76%,0.8
K15EQ9,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.512,21/08/15,08/08/17,4.381,0.118,4.236,0.145,77%,72%,0.74
K15EQ10,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.469,21/08/15,08/08/17,4.265,0.12,4.116,0.149,74%,68%,0.71
K15EQ11,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.53,21/08/15,12/08/16,4.499,0.192,4.252,0.247,0.64,0.53,0.59
K15EQ12,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.519,21/08/15,12/08/16,4.855,0.145,4.622,0.233,0.72,0.55,0.64
K15EQ13,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.524,21/08/15,12/08/16,4.252,0.124,4.081,0.171,0.76,0.67,0.72
K15EQ14,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.484,21/08/15,12/08/16,4.427,0.102,4.267,0.16,0.79,0.67,0.73
K15EQ15,Equisetum avense,1,Leaf,Printers pass,Pika camp,0.542,21/08/15,12/08/16,4.331,0.055,4.206,0.125,0.9,0.77,0.83
K15EQ16,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.523,21/08/15,12/08/16,4.345,0.144,4.166,0.179,0.72,0.66,0.69
K15EQ17,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.517,21/08/15,12/08/16,4.196,0.113,4.034,0.162,0.78,0.69,0.73
K15EQ18,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.514,21/08/15,12/08/16,4.229,0.122,4.086,0.143,0.76,0.72,0.74
K15EQ19,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.54,21/08/15,12/08/16,4.229,0.096,4.089,0.14,0.82,0.74,0.78
K15EQ20,Equisetum avense,2,Leaf,Printers pass,Pika camp,0.534,21/08/15,12/08/16,4.298,0.1,4.162,0.136,0.81,0.75,0.78
K15SG(f)1,Salix glauca,1,Flower,Printers pass,Pika camp,0.519,21/08/15,08/08/17,2.654,0.218,2.429,0.225,58%,57%,0.57
K15SG(f)2,Salix glauca,1,Flower,Printers pass,Pika camp,0.545,21/08/15,08/08/17,3.185,0.264,2.913,0.272,52%,50%,0.51
K15SG(f)3,Salix glauca,1,Flower,Printers pass,Pika camp,0.472,21/08/15,08/08/17,2.508,0.21,2.298,0.21,56%,56%,0.56
K15SG(f)4,Salix glauca,1,Flower,Printers pass,Pika camp,0.483,21/08/15,08/08/17,2.929,0.218,2.707,0.222,55%,54%,0.54
K15SG(f)5,Salix glauca,1,Flower,Printers pass,Pika camp,0.549,21/08/15,08/08/17,2.542,0.229,2.295,0.247,58%,55%,0.57
K15SG(f)6,Salix glauca,2,Flower,Printers pass,Pika camp,0.512,21/08/15,08/08/17,2.724,0.195,2.525,0.199,62%,61%,0.62
K15SG(f)7,Salix glauca,2,Flower,Printers pass,Pika camp,0.488,21/08/15,08/08/17,2.886,0.195,2.683,0.203,60%,58%,0.59
K15SG(f)8,Salix glauca,2,Flower,Printers pass,Pika camp,0.476,21/08/15,08/08/17,2.442,0.228,2.207,0.235,52%,51%,0.51
K15SG(f)9,Salix glauca,2,Flower,Printers pass,Pika camp,0.484,21/08/15,08/08/17,2.353,0.23,2.113,0.24,52%,50%,0.51
K15SG(f)10,Salix glauca,2,Flower,Printers pass,Pika camp,0.476,21/08/15,08/08/17,2.382,0.225,2.154,0.228,53%,52%,0.52
K15SG(f)11,Salix glauca,1,Flower,Printers pass,Pika camp,0.529,21/08/15,12/08/16,2.88,0.256,2.622,0.258,0.52,0.51,0.51
K15SG(f)12,Salix glauca,1,Flower,Printers pass,Pika camp,0.481,21/08/15,12/08/16,2.42,0.272,2.142,0.278,0.43,0.42,0.43
K15SG(f)13,Salix glauca,1,Flower,Printers pass,Pika camp,0.499,21/08/15,12/08/16,2.38,0.264,2.117,0.263,0.47,0.47,0.47
K15SG(f)14,Salix glauca,1,Flower,Printers pass,Pika camp,0.483,21/08/15,12/08/16,2.381,0.313,2.056,0.325,0.35,0.33,0.34
K15SG(f)15,Salix glauca,1,Flower,Printers pass,Pika camp,0.525,21/08/15,12/08/16,2.513,0.296,2.215,0.298,0.44,0.43,0.43
K15SG(f)16,Salix glauca,2,Flower,Printers pass,Pika camp,0.548,21/08/15,12/08/16,3.096,0.334,2.728,0.368,0.39,0.33,0.36
K15SG(f)17,Salix glauca,2,Flower,Printers pass,Pika camp,0.519,21/08/15,12/08/16,3.08,0.255,2.795,0.285,0.51,0.45,0.48
K15SG(f)18,Salix glauca,2,Flower,Printers pass,Pika camp,0.524,21/08/15,12/08/16,2.825,0.272,2.55,0.275,0.48,0.48,0.48
K15SG(f)19,Salix glauca,2,Flower,Printers pass,Pika camp,0.536,21/08/15,12/08/16,2.988,0.331,2.64,0.348,0.38,0.35,0.37
K15SG(f)20,Salix glauca,2,Flower,Printers pass,Pika camp,0.543,21/08/15,12/08/16,2.833,0.336,2.494,0.339,0.38,0.38,0.38
K15SP(l)1,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.515,21/08/15,08/08/17,4.538,0.355,4.173,0.365,31%,29%,0.3
K15SP(l)2,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.534,21/08/15,08/08/17,4.566,0.352,4.209,0.357,34%,33%,0.34
K15SP(l)3,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.487,21/08/15,08/08/17,4.514,0.303,4.204,0.31,38%,36%,0.37
K15SP(l)4,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.52,21/08/15,08/08/17,4.477,0.353,4.118,0.359,32%,31%,0.32
K15SP(l)5,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.491,21/08/15,08/08/17,4.548,0.355,4.185,0.363,28%,26%,0.27
K15SP(l)6,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.502,21/08/15,08/08/17,4.606,0.334,4.256,0.35,33%,30%,0.32
K15SP(l)7,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.524,21/08/15,08/08/17,4.713,0.425,4.279,0.434,19%,17%,0.18
K15SP(l)8,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.516,21/08/15,08/08/17,4.593,0.377,4.208,0.385,27%,25%,0.26
K15SP(l)9,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.494,21/08/15,08/08/17,4.496,0.332,4.155,0.341,33%,31%,0.32
K15SP(l)10,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.511,21/08/15,08/08/17,4.559,0.338,4.215,0.344,34%,33%,0.33
K15SP(l)11,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.481,21/08/15,12/08/16,4.57,0.326,4.21,0.36,0.32,0.25,0.29
K15SP(l)12,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.507,21/08/15,12/08/16,4.467,0.368,4.073,0.394,0.27,0.22,0.25
K15SP(l)13,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.506,21/08/15,12/08/16,4.63,0.355,4.253,0.377,0.3,0.25,0.28
K15SP(l)14,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.514,21/08/15,12/08/16,4.698,0.397,4.28,0.418,0.23,0.19,0.21
K15SP(l)15,Salix pulchra,1,Leaf,Pika camp,Pika camp,0.495,21/08/15,12/08/16,4.589,0.371,4.167,0.422,0.25,0.15,0.2
K15SP(l)16,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.494,21/08/15,12/08/16,4.708,0.357,4.335,0.373,0.28,0.24,0.26
K15SP(l)17,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.511,21/08/15,12/08/16,4.789,0.417,4.353,0.436,0.18,0.15,0.17
K15SP(l)18,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.503,21/08/15,12/08/16,4.76,0.367,4.373,0.387,0.27,0.23,0.25
K15SP(l)19,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.5,21/08/15,12/08/16,4.738,0.366,4.336,0.402,0.27,0.2,0.23
K15SP(l)20,Salix pulchra,2,Leaf,Pika camp,Pika camp,0.505,21/08/15,12/08/16,4.8,0.369,4.398,0.402,0.27,0.2,0.24
K15BG(l)1,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.506,21/08/15,08/08/17,4.485,0.303,4.17,0.315,40%,38%,0.39
K15BG(l)2,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.532,21/08/15,08/08/17,4.518,0.28,4.218,0.3,47%,44%,0.45
K15BG(l)3,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.471,21/08/15,08/08/17,4.385,0.24,4.141,0.244,49%,48%,0.49
K15BG(l)4,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.502,21/08/15,08/08/17,4.472,0.323,4.141,0.331,36%,34%,0.35
K15BG(l)5,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.486,21/08/15,08/08/17,4.566,0.331,4.212,0.354,32%,27%,0.3
K15BG(l)6,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.495,21/08/15,08/08/17,4.427,0.317,4.1,0.327,36%,34%,0.35
K15BG(l)7,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.531,21/08/15,08/08/17,4.554,0.341,4.195,0.359,36%,32%,0.34
K15BG(l)8,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.493,21/08/15,08/08/17,4.526,0.299,4.22,0.306,39%,38%,0.39
K15BG(l)9,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.498,21/08/15,08/08/17,4.604,0.315,4.282,0.322,37%,35%,0.36
K15BG(l)10,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.522,21/08/15,08/08/17,4.798,0.386,4.403,0.395,26%,24%,0.25
K15BG(l)11,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.521,21/08/15,12/08/16,4.574,0.361,4.176,0.398,0.31,0.24,0.27
K15BG(l)12,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.503,21/08/15,12/08/16,4.523,0.334,4.169,0.354,0.34,0.3,0.32
K15BG(l)13,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.538,21/08/15,12/08/16,4.642,0.341,4.288,0.354,0.37,0.34,0.35
K15BG(l)14,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.498,21/08/15,12/08/16,4.555,0.322,4.206,0.349,0.35,0.3,0.33
K15BG(l)15,Betula glandulosa,1,Leaf,Pika camp,Pika camp,0.514,21/08/15,12/08/16,4.391,0.296,4.072,0.319,0.42,0.38,0.4
K15BG(l)16,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.508,21/08/15,12/08/16,4.423,0.256,4.148,0.275,0.5,0.46,0.48
K15BG(l)17,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.508,21/08/15,12/08/16,4.5,0.277,4.18,0.32,0.45,0.37,0.41
K15BG(l)18,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.539,21/08/15,12/08/16,4.65,0.323,4.241,0.409,0.4,0.24,0.32
K15BG(l)19,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.521,21/08/15,12/08/16,4.66,0.314,4.296,0.364,0.4,0.3,0.35
K15BG(l)20,Betula glandulosa,2,Leaf,Pika camp,Pika camp,0.507,21/08/15,12/08/16,4.655,0.351,4.277,0.378,0.31,0.25,0.28
K15SP(f)1,Salix pulchra,1,Flower,Pika camp,Pika camp,0.486,21/08/15,08/08/17,2.464,0.289,2.158,0.306,41%,37%,0.39
K15SP(f)2,Salix pulchra,1,Flower,Pika camp,Pika camp,0.517,21/08/15,08/08/17,2.709,0.32,2.377,0.332,38%,36%,0.37
K15SP(f)3,Salix pulchra,1,Flower,Pika camp,Pika camp,0.523,21/08/15,08/08/17,2.694,0.297,2.395,0.299,43%,43%,0.43
K15SP(f)4,Salix pulchra,1,Flower,Pika camp,Pika camp,0.531,21/08/15,08/08/17,2.867,0.284,2.568,0.299,47%,44%,0.45
K15SP(f)5,Salix pulchra,1,Flower,Pika camp,Pika camp,0.598,21/08/15,08/08/17,2.677,0.251,2.415,0.262,58%,56%,0.57
K15SP(f)6,Salix pulchra,2,Flower,Pika camp,Pika camp,0.47,21/08/15,08/08/17,2.617,0.307,2.3,0.317,35%,33%,0.34
K15SP(f)7,Salix pulchra,2,Flower,Pika camp,Pika camp,0.514,21/08/15,08/08/17,2.945,0.293,2.639,0.306,43%,40%,0.42
K15SP(f)8,Salix pulchra,2,Flower,Pika camp,Pika camp,0.493,21/08/15,08/08/17,2.626,0.266,2.343,0.283,46%,43%,0.44
K15SP(f)9,Salix pulchra,2,Flower,Pika camp,Pika camp,0.541,21/08/15,08/08/17,2.659,0.295,2.361,0.298,45%,45%,0.45
K15SP(f)10,Salix pulchra,2,Flower,Pika camp,Pika camp,0.505,21/08/15,08/08/17,2.955,0.235,2.714,0.241,53%,52%,0.53
K15SP(f)11,Salix pulchra,1,Flower,Pika camp,Pika camp,0.506,21/08/15,12/08/16,2.828,0.289,2.538,0.29,0.43,0.43,0.43
K15SP(f)12,Salix pulchra,1,Flower,Pika camp,Pika camp,0.535,21/08/15,12/08/16,2.687,0.304,2.377,0.31,0.43,0.42,0.43
K15SP(f)13,Salix pulchra,1,Flower,Pika camp,Pika camp,0.516,21/08/15,12/08/16,2.783,0.308,2.471,0.312,0.4,0.4,0.4
K15SP(f)14,Salix pulchra,1,Flower,Pika camp,Pika camp,0.494,21/08/15,12/08/16,2.746,0.304,2.436,0.31,0.38,0.37,0.38
K15SP(f)15,Salix pulchra,1,Flower,Pika camp,Pika camp,0.477,21/08/15,12/08/16,2.645,0.269,2.36,0.285,0.44,0.4,0.42
K15SP(f)16,Salix pulchra,2,Flower,Pika camp,Pika camp,0.478,21/08/15,12/08/16,2.643,0.295,2.328,0.315,0.38,0.34,0.36
K15SP(f)17,Salix pulchra,2,Flower,Pika camp,Pika camp,0.514,21/08/15,12/08/16,2.774,0.289,2.434,0.34,0.44,0.34,0.39
K15SP(f)18,Salix pulchra,2,Flower,Pika camp,Pika camp,0.527,21/08/15,12/08/16,2.607,0.312,2.268,0.339,0.41,0.36,0.38
K15SP(f)19,Salix pulchra,2,Flower,Pika camp,Pika camp,0.53,21/08/15,12/08/16,2.777,0.326,2.415,0.362,0.38,0.32,0.35
K15SP(f)20,Salix pulchra,2,Flower,Pika camp,Pika camp,0.539,21/08/15,12/08/16,2.937,0.369,2.52,0.417,0.32,0.23,0.27
H15SP(l)1,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.526,21/08/15,08/08/17,4.619,0.434,4.155,0.464,17%,12%,0.15
H15SP(l)2,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.484,21/08/15,08/08/17,4.456,0.381,4.061,0.395,21%,18%,0.2
H15SP(l)3,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.502,21/08/15,08/08/17,4.695,0.413,4.267,0.428,18%,15%,0.16
H15SP(l)4,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.502,21/08/15,08/08/17,4.606,0.425,4.165,0.441,15%,12%,0.14
H15SP(l)5,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.546,21/08/15,08/08/17,4.821,0.481,4.309,0.512,12%,6%,0.09
H15SP(l)6,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.496,21/08/15,08/08/17,4.919,0.403,4.501,0.418,19%,16%,0.17
H15SP(l)7,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.521,21/08/15,08/08/17,4.778,0.423,4.339,0.439,19%,16%,0.17
H15SP(l)8,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.531,21/08/15,08/08/17,4.799,0.429,4.343,0.456,19%,14%,0.17
H15SP(l)9,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.498,21/08/15,08/08/17,4.801,0.415,4.367,0.434,17%,13%,0.15
H15SP(l)10,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.483,21/08/15,08/08/17,4.702,0.398,4.293,0.409,18%,15%,0.16
H15SP(l)11,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.498,21/08/15,12/08/16,4.727,0.421,4.275,0.452,0.15,0.09,0.12
H15SP(l)12,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.483,21/08/15,12/08/16,4.779,0.429,4.304,0.475,0.11,0.02,0.06
H15SP(l)13,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.537,21/08/15,12/08/16,4.672,0.459,4.179,0.493,0.15,0.08,0.11
H15SP(l)14,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.49,21/08/15,12/08/16,4.713,0.419,4.279,0.434,0.14,0.11,0.13
H15SP(l)15,Salix pulchra,1,Leaf,Herschel island,Herschel island,0.472,21/08/15,12/08/16,4.717,0.395,4.298,0.419,0.16,0.11,0.14
H15SP(l)16,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.509,21/08/15,12/08/16,4.595,0.426,4.154,0.441,0.16,0.13,0.15
H15SP(l)17,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.496,21/08/15,12/08/16,4.485,0.376,4.093,0.392,0.24,0.21,0.23
H15SP(l)18,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.52,21/08/15,12/08/16,4.688,0.416,4.247,0.441,0.2,0.15,0.18
H15SP(l)19,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.495,21/08/15,12/08/16,4.646,0.398,4.232,0.414,0.2,0.16,0.18
H15SP(l)20,Salix pulchra,2,Leaf,Herschel island,Herschel island,0.531,21/08/15,12/08/16,4.382,0.412,3.945,0.437,0.22,0.18,0.2
H15SA(s)1,Salix arctica,1,Stem,Herschel island,Herschel island,0.501,21/08/15,08/08/17,3.02,0.35,2.662,0.358,30%,29%,0.29
H15SA(s)2,Salix arctica,1,Stem,Herschel island,Herschel island,0.521,21/08/15,08/08/17,2.877,0.427,2.442,0.435,18%,17%,0.17
H15SA(s)3,Salix arctica,1,Stem,Herschel island,Herschel island,0.516,21/08/15,08/08/17,2.69,0.389,2.303,0.387,25%,25%,0.25
H15SA(s)4,Salix arctica,1,Stem,Herschel island,Herschel island,0.502,21/08/15,08/08/17,2.824,0.388,2.436,0.388,23%,23%,0.23
H15SA(s)5,Salix arctica,1,Stem,Herschel island,Herschel island,0.516,21/08/15,08/08/17,2.82,0.395,2.424,0.396,23%,23%,0.23
H15SA(s)6,Salix arctica,2,Stem,Herschel island,Herschel island,0.502,21/08/15,08/08/17,2.846,0.383,2.458,0.388,24%,23%,0.23
H15SA(s)7,Salix arctica,2,Stem,Herschel island,Herschel island,0.481,21/08/15,08/08/17,2.369,0.327,2.041,0.328,32%,32%,0.32
H15SA(s)8,Salix arctica,2,Stem,Herschel island,Herschel island,0.498,21/08/15,08/08/17,2.719,0.349,2.366,0.353,30%,29%,0.3
H15SA(s)9,Salix arctica,2,Stem,Herschel island,Herschel island,0.499,21/08/15,08/08/17,2.761,0.354,2.403,0.358,29%,28%,0.29
H15SA(s)10,Salix arctica,2,Stem,Herschel island,Herschel island,0.522,21/08/15,08/08/17,2.593,0.371,2.221,0.372,29%,29%,0.29
H15SA(s)11,Salix arctica,1,Stem,Herschel island,Herschel island,0.485,21/08/15,12/08/16,2.758,0.407,2.332,0.426,0.16,0.12,0.14
H15SA(s)12,Salix arctica,1,Stem,Herschel island,Herschel island,0.535,21/08/15,12/08/16,2.854,0.388,2.471,0.383,0.27,0.28,0.28
H15SA(s)13,Salix arctica,1,Stem,Herschel island,Herschel island,0.47,21/08/15,12/08/16,2.728,0.358,2.352,0.376,0.24,0.2,0.22
H15SA(s)14,Salix arctica,1,Stem,Herschel island,Herschel island,0.486,21/08/15,12/08/16,2.769,0.399,2.347,0.422,0.18,0.13,0.16
H15SA(s)15,Salix arctica,1,Stem,Herschel island,Herschel island,0.538,21/08/15,12/08/16,2.716,0.456,2.262,0.454,0.15,0.16,0.15
H15SA(s)16,Salix arctica,2,Stem,Herschel island,Herschel island,0.51,21/08/15,12/08/16,3.177,0.476,2.689,0.488,0.07,0.04,0.05
H15SA(s)17,Salix arctica,2,Stem,Herschel island,Herschel island,0.492,21/08/15,12/08/16,3.007,0.416,2.575,0.432,0.15,0.12,0.14
H15SA(s)18,Salix arctica,2,Stem,Herschel island,Herschel island,0.518,21/08/15,12/08/16,2.907,0.438,2.469,0.438,0.15,0.15,0.15
H15SA(s)19,Salix arctica,2,Stem,Herschel island,Herschel island,0.503,21/08/15,12/08/16,2.765,0.389,2.374,0.391,0.23,0.22,0.22
H15SA(s)20,Salix arctica,2,Stem,Herschel island,Herschel island,0.487,21/08/15,12/08/16,2.851,0.373,2.468,0.383,0.23,0.21,0.22
H15AA(l)1,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.464,21/08/15,08/08/17,4.482,0.131,4.337,0.145,72%,69%,0.7
H15AA(l)2,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.526,21/08/15,08/08/17,4.529,0.196,4.316,0.213,63%,60%,0.61
H15AA(l)3,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.536,21/08/15,08/08/17,3.906,0.186,3.698,0.208,65%,61%,0.63
H15AA(l)4,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.523,21/08/15,08/08/17,4.815,0.207,4.584,0.231,60%,56%,0.58
H15AA(l)5,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.518,21/08/15,08/08/17,4.205,0.21,3.984,0.221,59%,57%,0.58
H15AA(l)6,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.501,21/08/15,08/08/17,5.156,0.18,4.958,0.198,64%,60%,0.62
H15AA(l)7,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.502,21/08/15,08/08/17,3.902,0.098,3.766,0.136,80%,73%,0.77
H15AA(l)8,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.537,21/08/15,08/08/17,4.262,0.168,4.084,0.178,69%,67%,0.68
H15AA(l)9,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.491,21/08/15,08/08/17,4.165,0.116,4.027,0.138,76%,72%,0.74
H15AA(l)10,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.485,21/08/15,08/08/17,4.345,0.166,4.159,0.186,66%,62%,0.64
H15AA(l)11,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.478,21/08/15,12/08/16,4.312,0.183,4.116,0.196,0.62,0.59,0.6
H15AA(l)12,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.48,21/08/15,12/08/16,4.429,0.222,4.189,0.24,0.54,0.5,0.52
H15AA(l)13,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.52,21/08/15,12/08/16,4.448,0.251,4.193,0.255,0.52,0.51,0.51
H15AA(l)14,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.545,21/08/15,12/08/16,4.549,0.231,4.306,0.243,0.58,0.55,0.57
H15AA(l)15,Alopecurus alpinus,1,Leaf,Herschel island,Herschel island,0.49,21/08/15,12/08/16,4.535,0.268,4.25,0.285,0.45,0.42,0.44
H15AA(l)16,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.527,21/08/15,12/08/16,4.547,0.238,4.284,0.263,0.55,0.5,0.52
H15AA(l)17,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.49,21/08/15,12/08/16,4.575,0.25,4.291,0.284,0.49,0.42,0.46
H15AA(l)18,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.536,21/08/15,12/08/16,4.412,0.225,4.155,0.257,0.58,0.52,0.55
H15AA(l)19,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.491,21/08/15,12/08/16,4.479,0.221,4.219,0.26,0.55,0.47,0.51
H15AA(l)20,Alopecurus alpinus,2,Leaf,Herschel island,Herschel island,0.482,21/08/15,12/08/16,4.436,0.208,4.202,0.234,0.57,0.51,0.54
